Ri,Zj,Rhoij
-6.774194,6.031746,0.007336
-6.774194,6.666667,0.003539
-6.774194,7.301587,0.001511
-6.774194,7.936508,0.000600
-6.774194,8.571429,0.000244
-6.774194,9.206349,0.000111
-6.774194,9.841270,0.000058
-6.774194,10.476190,0.000033
-6.774194,11.111111,0.000018
-6.774194,11.746032,0.000009
-6.774194,12.380952,0.000004
-6.774194,13.015873,0.000001
-6.774194,13.650794,0.000000
-6.774194,14.285714,0.000000
-6.774194,14.920635,0.000000
-6.774194,15.555556,0.000000
-6.774194,16.190476,0.000000
-6.774194,16.825397,0.000000
-6.774194,17.460317,0.000000
-6.774194,18.095238,0.000000
-6.774194,18.730159,0.000000
-6.774194,19.365079,0.000000
-6.774194,20.000000,0.000000
-6.129032,-20.000000,0.000000
-6.129032,-19.365079,0.000000
-6.129032,-18.730159,0.000000
-6.129032,-18.095238,0.000000
-6.129032,-17.460317,0.000000
-6.129032,-16.825397,0.000000
-6.129032,-16.190476,0.000000
-6.129032,-15.555556,0.000000
-6.129032,-14.920635,0.000000
-6.129032,-14.285714,0.000000
-6.129032,-13.650794,0.000001
-6.129032,-13.015873,0.000002
-6.129032,-12.380952,0.000007
-6.129032,-11.746032,0.000016
-6.129032,-11.111111,0.000032
-6.129032,-10.476190,0.000055
-6.129032,-9.841270,0.000097
-6.129032,-9.206349,0.000206
-6.129032,-8.571429,0.000538
-6.129032,-7.936508,0.001572
-6.129032,-7.301587,0.004388
-6.129032,-6.666667,0.010624
-6.129032,-6.031746,0.021619
-6.129032,-5.396825,0.037203
-6.129032,-4.761905,0.055371
-6.129032,-4.126984,0.073364
-6.129032,-3.492063,0.089040
-6.129032,-2.857143,0.101400
-6.129032,-2.222222,0.110327
-6.129032,-1.587302,0.116163
-6.129032,-0.952381,0.119394
-6.129032,-0.317460,0.120413
-6.129032,0.317460,0.119399
-6.129032,0.952381,0.116343
-6.129032,1.587302,0.111131
-6.129032,2.222222,0.103556
-6.129032,2.857143,0.093371
-6.129032,3.492063,0.080490
-6.129032,4.126984,0.065274
-6.129032,4.761905,0.048765
-6.129032,5.396825,0.032729
-6.129032,6.031746,0.019227
-6.129032,6.666667,0.009686
-6.129032,7.301587,0.004165
-6.129032,7.936508,0.001575
-6.129032,8.571429,0.000571
-6.129032,9.206349,0.000227
-6.129032,9.841270,0.000109
-6.129032,10.476190,0.000061
-6.129032,11.111111,0.000035
-6.129032,11.746032,0.000018
-6.129032,12.380952,0.000008
-6.129032,13.015873,0.000003
-6.129032,13.650794,0.000001
-6.129032,14.285714,0.000000
-6.129032,14.920635,0.000000
-6.129032,15.555556,0.000000
-6.129032,16.190476,0.000000
-6.129032,16.825397,0.000000
-6.129032,17.460317,0.000000
-6.129032,18.095238,0.000000
-6.129032,18.730159,0.000000
-6.129032,19.365079,0.000000
-6.129032,20.000000,0.000000
-5.483871,-20.000000,0.000000
-5.483871,-19.365079,0.000000
-5.483871,-18.730159,0.000000
-5.483871,-18.095238,0.000000
-5.483871,-17.460317,0.000000
-5.483871,-16.825397,0.000000
-5.483871,-16.190476,0.000000
-5.483871,-15.555556,0.000000
-5.483871,-14.920635,0.000000
-5.483871,-14.285714,0.000001
-5.483871,-13.650794,0.000001
-5.483871,-13.015873,0.000003
-5.483871,-12.380952,0.000009
-5.483871,-11.746032,0.000023
-5.483871,-11.111111,0.000047
-5.483871,-10.476190,0.000082
-5.483871,-9.841270,0.000156
-5.483871,-9.206349,0.000378
-5.483871,-8.571429,0.001148
-5.483871,-7.936508,0.003622
-5.483871,-7.301587,0.010097
-5.483871,-6.666667,0.023246
-5.483871,-6.031746,0.043829
-5.483871,-5.396825,0.068968
-5.483871,-4.761905,0.093443
-5.483871,-4.126984,0.113033
-5.483871,-3.492063,0.126414
-5.483871,-2.857143,0.134500
-5.483871,-2.222222,0.138932
-5.483871,-1.587302,0.141112
-5.483871,-0.952381,0.141952
-5.483871,-0.317460,0.142022
-5.483871,0.317460,0.141611
-5.483871,0.952381,0.140630
-5.483871,1.587302,0.138676
-5.483871,2.222222,0.135187
-5.483871,2.857143,0.129347
-5.483871,3.492063,0.119994
-5.483871,4.126984,0.105953
-5.483871,4.761905,0.086846
-5.483871,5.396825,0.064094
